Sample	X	Age	Sex	Variable 1	Yresponse
1	60	38	0	1	28.5
2	74	33	0	1	34.88571429
3	44	27	1	0	14.14285714
4	85	27	1	1	26.37931034
5	74	40	0	0	36.09756098
6	76	37	1	1	24.03418803
7	91	23	0	0	43.60416667
8	94	36	0	0	45.72972973
9	10	34	0	0	4.857142857
10	66	33	1	0	21.35294118
11	70	45	0	1	33.5106383
12	89	26	1	0	28.56790123
13	86	32	0	0	41.6969697
14	99	35	0	0	48.125
15	98	31	1	1	30.68686869
16	24	44	0	1	11.47826087
17	77	35	1	0	24.9537037
18	72	29	1	0	23.2
19	70	37	0	0	34.07894737
20	53	39	1	0	17.225
21	18	27	0	0	8.678571429
22	15	35	0	1	7.094594595
23	47	39	1	1	14.90243902
