Ensembl_Gene_ID	E.t1.I	E.t1.II	E.t1.III	E.t4.I	E.t4.II	E.t4.III	E.t6.I	E.t6.II	E.t6.III	E.t8.I	E.t8.II	E.t8.III
ENSG00000000003	148	163	144	8	384	424	582	414	455	465	312	0
ENSG00000000005	162	6	136	88	290	282	145	118	350	191	511	523
ENSG00000000419	81	107	75	75	62	167	36	365	575	368	702	384
ENSG00000000457	119	198	80	374	257	151	217	326	481	395	431	623
ENSG00000000460	173	0	33	49	123	227	494	601	269	567	529	815
ENSG00000000938	40	112	33	167	128	433	492	444	475	165	292	574
ENSG00000000971	159	148	57	330	149	390	457	161	25	17	495	43
ENSG00000001036	23	147	116	9	266	324	202	538	301	628	161	197
ENSG00000001084	38	119	171	94	114	192	40	84	121	231	163	213
ENSG00000001167	3	174	119	19	392	276	209	378	590	109	137	722
ENSG00000001460	136	125	167	125	206	53	179	539	204	258	250	18
ENSG00000001461	54	58	59	35	267	66	253	415	659	478	462	682
ENSG00000001497	20	188	146	235	163	87	282	570	418	48	652	590
ENSG00000001561	31	176	131	273	123	120	21	299	270	151	89	232
ENSG00000001617	48	114	109	57	242	401	363	450	176	521	253	389
ENSG00000001626	67	2	35	123	220	6	10	265	521	406	254	269
ENSG00000001629	27	83	170	270	305	262	68	211	152	82	266	462
ENSG00000001631	115	115	74	282	33	262	31	469	444	447	25	533
ENSG00000002016	49	141	86	168	117	48	395	501	388	609	105	335
ENSG00000002330	96	34	65	62	345	106	587	14	405	465	437	143
ENSG00000002549	56	195	86	144	36	231	296	8	657	122	522	263
ENSG00000002586	14	158	94	158	313	422	226	405	15	139	226	741
ENSG00000002587	163	146	216	344	367	366	155	250	321	302	713	622
ENSG00000002726	28	149	103	368	31	273	362	518	177	71	266	851
ENSG00000002745	140	37	3	109	297	325	414	285	153	250	284	244
ENSG00000002746	58	135	107	6	30	39	513	213	255	155	182	429
ENSG00000002822	23	9	204	206	301	301	76	33	30	63	726	139
ENSG00000002834	177	162	117	55	400	99	86	104	29	669	574	176
ENSG00000002919	174	49	90	362	201	105	352	84	271	609	517	853
ENSG00000002933	132	49	190	165	329	214	33	203	335	124	91	63
ENSG00000003056	125	175	46	292	196	80	542	484	90	62	728	355
ENSG00000003096	19	41	53	173	68	259	373	386	35	165	312	808
ENSG00000003137	108	169	168	182	266	371	16	504	138	676	618	315
ENSG00000003147	31	122	19	59	200	132	63	492	110	585	407	229
ENSG00000003249	107	158	133	330	47	51	254	506	316	507	32	236
ENSG00000003393	73	24	3	270	44	178	87	101	124	614	642	328
ENSG00000003400	24	153	129	295	319	177	290	367	94	382	335	173
ENSG00000003402	35	51	67	82	33	16	208	484	373	76	461	263
ENSG00000003436	64	141	49	1	85	435	337	90	563	174	94	768
ENSG00000003509	34	167	74	15	251	78	151	595	589	446	441	489
ENSG00000003756	29	84	49	244	310	424	124	466	565	359	628	519
ENSG00000003987	8	58	32	220	299	435	535	30	117	186	459	61
ENSG00000003989	174	146	194	116	347	162	540	87	364	620	376	289
ENSG00000004059	100	24	16	152	225	244	252	380	71	159	564	392
ENSG00000004142	130	80	24	278	112	165	390	73	333	453	199	474
ENSG00000004399	82	113	158	75	137	190	212	184	310	679	403	672
ENSG00000004455	87	60	100	160	144	243	85	214	221	343	374	490
ENSG00000004468	87	87	70	35	82	183	175	535	354	79	227	143
ENSG00000004478	102	138	52	293	169	183	430	256	98	384	174	141
ENSG00000004487	19	110	101	200	32	336	260	323	591	59	454	391
ENSG00000004534	85	18	203	247	124	197	395	81	504	408	281	49
ENSG00000004660	67	106	39	372	306	285	228	296	222	563	581	132
ENSG00000004700	178	36	155	239	85	239	116	402	603	654	445	694
ENSG00000004766	110	165	5	39	143	334	256	8	323	341	490	796
ENSG00000004776	45	177	180	265	1	314	433	598	630	64	727	52
ENSG00000004777	75	51	115	190	336	378	276	58	236	599	107	33
ENSG00000004779	143	95	122	317	38	33	509	543	286	60	242	506
ENSG00000004799	28	104	165	270	139	3	155	101	100	370	252	230
ENSG00000004809	143	138	177	159	318	312	530	458	305	564	351	100
ENSG00000004838	20	83	117	34	147	207	580	618	94	397	199	209
ENSG00000004846	48	196	144	323	16	318	196	345	219	523	610	332
ENSG00000004848	40	62	213	0	231	275	553	208	632	466	570	499
ENSG00000004864	6	101	210	319	85	288	123	210	602	465	318	244
ENSG00000004866	180	162	175	161	133	200	58	495	234	33	673	57
ENSG00000004939	128	180	112	176	167	297	523	293	142	589	706	70
ENSG00000004948	24	30	2	188	167	168	5	78	423	208	493	776
ENSG00000004961	22	190	123	357	65	183	87	529	100	108	732	602
ENSG00000004975	57	102	68	134	306	308	67	329	331	298	541	317
ENSG00000005001	2	112	19	255	372	253	258	566	275	253	654	612
ENSG00000005007	162	100	2	272	204	129	295	588	73	632	266	436
ENSG00000005020	2	62	218	270	104	378	130	78	5	654	710	274
ENSG00000005022	98	199	99	132	177	387	510	485	359	506	242	458
ENSG00000005059	107	130	220	82	98	185	427	600	442	220	669	870
ENSG00000005073	116	54	220	317	158	252	326	455	160	353	86	516
ENSG00000005075	5	2	8	202	151	217	33	131	302	81	633	521
ENSG00000005100	50	23	62	168	126	434	363	177	515	597	203	241
ENSG00000005102	145	123	132	369	24	39	295	65	97	697	432	283
ENSG00000005108	36	83	44	92	279	346	389	4	454	54	54	359
ENSG00000005156	59	159	43	77	173	61	586	386	131	556	95	301
ENSG00000005175	63	63	153	329	160	266	495	239	578	508	216	173
ENSG00000005187	79	54	15	94	341	14	444	402	640	374	423	333
ENSG00000005189	43	186	189	318	100	225	104	140	491	387	27	351
ENSG00000005194	115	100	96	204	369	243	170	225	157	91	336	173
ENSG00000005206	145	57	42	270	277	330	257	147	162	332	335	505
ENSG00000005238	109	161	68	174	341	112	506	475	272	521	708	622
ENSG00000005243	137	55	201	149	26	86	358	182	616	121	97	889
ENSG00000005249	165	181	2	30	136	295	590	104	489	416	480	245
ENSG00000005302	24	189	77	262	197	2	573	130	207	577	231	306
ENSG00000005339	126	94	119	52	234	242	207	545	626	99	532	228
ENSG00000005379	80	161	138	285	76	252	341	75	55	331	560	848
ENSG00000005381	46	18	146	225	217	60	317	111	409	154	518	673
ENSG00000005421	135	142	200	109	349	139	11	32	132	22	121	321
ENSG00000005436	108	36	16	173	284	211	247	190	646	339	259	240
ENSG00000005448	29	53	161	179	24	182	61	308	459	545	498	49
ENSG00000005469	132	141	97	350	210	328	18	492	584	410	671	331
ENSG00000005471	95	14	142	23	183	297	532	488	591	200	187	801
ENSG00000005483	138	90	182	71	189	225	476	519	653	126	739	791
ENSG00000005486	168	66	111	347	350	424	521	193	536	142	412	225
ENSG00000005513	51	169	134	51	236	254	7	468	338	492	672	167
ENSG00000005700	154	15	127	122	168	61	112	448	390	348	624	161
ENSG00000005801	134	191	168	19	31	270	121	9	622	382	612	130
ENSG00000005810	27	38	148	341	292	378	588	67	656	149	97	519
ENSG00000005812	33	175	44	278	360	256	463	167	478	318	243	10
ENSG00000005844	176	95	59	346	92	280	260	562	17	606	179	540
ENSG00000005882	47	122	204	264	189	309	66	167	595	56	473	151
ENSG00000005884	142	51	12	216	25	30	406	26	582	436	6	484
ENSG00000005889	3	80	179	374	198	219	44	202	46	447	286	326
ENSG00000005893	79	55	11	157	260	345	309	246	143	360	136	494
ENSG00000005955	150	52	139	283	101	409	175	308	338	30	255	502
ENSG00000005961	35	162	88	104	379	206	498	272	597	105	691	380
ENSG00000005981	85	108	79	67	224	428	146	369	598	152	600	55
ENSG00000006007	166	32	110	140	136	409	387	584	288	9	21	239
ENSG00000006015	76	23	4	290	318	263	413	382	385	641	150	395
ENSG00000006016	154	131	91	164	149	417	186	222	447	127	368	159
ENSG00000006025	14	134	196	17	111	82	248	162	222	45	34	819
ENSG00000006042	165	141	133	53	257	67	426	326	469	651	45	289
ENSG00000006047	104	139	138	185	140	62	122	454	635	385	252	361
ENSG00000006059	67	116	127	96	171	243	246	178	479	618	284	70
ENSG00000006062	76	132	77	144	45	365	94	432	282	258	255	745
ENSG00000006071	101	2	41	247	220	267	585	481	561	44	232	318
ENSG00000006074	48	141	126	22	357	411	342	73	283	311	427	115
ENSG00000006075	1	159	10	33	337	384	2	388	135	362	321	240
ENSG00000006116	6	115	216	272	387	194	75	351	64	508	114	130
